Traceback (most recent call last):
  File "xgboost_new_features.py", line 104, in <module>
    build_data(seed=100)
  File "xgboost_new_features.py", line 29, in build_data
    dtrain = xgb.DMatrix(FLAGS.tmp_data_path+'train'+str(seed)+'/xgboost.new_features.dtrain.joblib_dat')
  File "/home/zhijiehuang/anaconda3/lib/python3.6/site-packages/xgboost-0.72-py3.6.egg/xgboost/core.py", line 328, in __init__
    ctypes.byref(self.handle)))
  File "/home/zhijiehuang/anaconda3/lib/python3.6/site-packages/xgboost-0.72-py3.6.egg/xgboost/core.py", line 129, in _check_call
    raise XGBoostError(_LIB.XGBGetLastError())
xgboost.core.XGBoostError: b'[13:35:41] /home/zhijiehuang/github/xgboost/dmlc-core/src/io/input_split_base.cc:173: Check failed: files_.size() != 0U (0 vs. 0) Cannot find any files that matches the URI pattern /data/train100/xgboost.new_features.dtrain.joblib_dat\n\nStack trace returned 10 entries:\n[bt] (0) /home/zhijiehuang/anaconda3/lib/python3.6/site-packages/xgboost-0.72-py3.6.egg/xgboost/libxgboost.so(dmlc::StackTrace[abi:cxx11]()+0x1bc) [0x7fd8a140c92c]\n[bt] (1) /home/zhijiehuang/anaconda3/lib/python3.6/site-packages/xgboost-0.72-py3.6.egg/xgboost/libxgboost.so(dmlc::LogMessageFatal::~LogMessageFatal()+0x28) [0x7fd8a140dc88]\n[bt] (2) /home/zhijiehuang/anaconda3/lib/python3.6/site-packages/xgboost-0.72-py3.6.egg/xgboost/libxgboost.so(dmlc::io::InputSplitBase::InitInputFileInfo(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, bool)+0x650) [0x7fd8a1609400]\n[bt] (3) /home/zhijiehuang/anaconda3/lib/python3.6/site-packages/xgboost-0.72-py3.6.egg/xgboost/libxgboost.so(dmlc::io::InputSplitBase::Init(dmlc::io::FileSystem*, char const*, unsigned long, bool)+0x74) [0x7fd8a1609584]\n[bt] (4) /home/zhijiehuang/anaconda3/lib/python3.6/site-packages/xgboost-0.72-py3.6.egg/xgboost/libxgboost.so(dmlc::InputSplit::Create(char const*, char const*, unsigned int, unsigned int, char const*, bool, int, unsigned long, bool)+0xbf0) [0x7fd8a15f0a90]\n[bt] (5) /home/zhijiehuang/anaconda3/lib/python3.6/site-packages/xgboost-0.72-py3.6.egg/xgboost/libxgboost.so(dmlc::InputSplit::Create(char const*, unsigned int, unsigned int, char const*)+0x1e) [0x7fd8a15f0f4e]\n[bt] (6) /home/zhijiehuang/anaconda3/lib/python3.6/site-packages/xgboost-0.72-py3.6.egg/xgboost/libxgboost.so(dmlc::Parser<unsigned int, float>* dmlc::data::CreateLibSVMParser<unsigned int, float>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > const&, unsigned int, unsigned int)+0x19) [0x7fd8a15d6c69]\n[bt] (7) /home/zhijiehuang/anaconda3/lib/python3.6/site-packages/xgboost-0.72-py3.6.egg/xgboost/libxgboost.so(dmlc::Parser<unsigned int, float>* dmlc::data::CreateParser_<unsigned int, float>(char const*, unsigned int, unsigned int, char const*)+0x19e) [0x7fd8a15cd79e]\n[bt] (8) /home/zhijiehuang/anaconda3/lib/python3.6/site-packages/xgboost-0.72-py3.6.egg/xgboost/libxgboost.so(xgboost::DMatrix::Load(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, bool, bool, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)+0x865) [0x7fd8a1407325]\n[bt] (9) /home/zhijiehuang/anaconda3/lib/python3.6/site-packages/xgboost-0.72-py3.6.egg/xgboost/libxgboost.so(XGDMatrixCreateFromFile+0x1d0) [0x7fd8a14b4d80]\n\n'
[13:37:54] 6385085x6 matrix with 38310510 entries loaded from /data/train25/xgboost.new_features.dtrain.joblib_dat
[13:37:54] 4256724x6 matrix with 25540344 entries loaded from /data/train25/xgboost.new_features.dvalid.joblib_dat
[13:37:58] Allocated 50MB on [0] GeForce GTX 1070 Ti, 7558MB remaining.
[13:37:58] Allocated 170MB on [0] GeForce GTX 1070 Ti, 7436MB remaining.
[13:37:58] Allocated 2MB on [0] GeForce GTX 1070 Ti, 7432MB remaining.
[13:37:58] Allocated 227MB on [0] GeForce GTX 1070 Ti, 7090MB remaining.
[0]	train-logloss:0.329711	valid-logloss:0.330364
[88]	train-logloss:0.294887	valid-logloss:0.295951
[89]	train-logloss:0.29485	valid-logloss:0.295918
[90]	train-logloss:0.294829	valid-logloss:0.2959
[91]	train-logloss:0.294815	valid-logloss:0.295889
[92]	train-logloss:0.294756	valid-logloss:0.295836
[93]	train-logloss:0.294718	valid-logloss:0.295802
[94]	train-logloss:0.294675	valid-logloss:0.295763
[95]	train-logloss:0.294631	valid-logloss:0.295722
[96]	train-logloss:0.294589	valid-logloss:0.295688
[97]	train-logloss:0.294572	valid-logloss:0.295675
[98]	train-logloss:0.294545	valid-logloss:0.295651
[99]	train-logloss:0.294508	valid-logloss:0.295617
[100]	train-logloss:0.294481	valid-logloss:0.295592
[101]	train-logloss:0.294458	valid-logloss:0.295573
[102]	train-logloss:0.294412	valid-logloss:0.29553
[103]	train-logloss:0.294322	valid-logloss:0.295443
[104]	train-logloss:0.294277	valid-logloss:0.295399
[105]	train-logloss:0.29426	valid-logloss:0.295385
[106]	train-logloss:0.294197	valid-logloss:0.295325
[107]	train-logloss:0.294165	valid-logloss:0.295298
[108]	train-logloss:0.294154	valid-logloss:0.295292
[109]	train-logloss:0.294125	valid-logloss:0.295268
[110]	train-logloss:0.294079	valid-logloss:0.295225
[111]	train-logloss:0.294054	valid-logloss:0.295204
[112]	train-logloss:0.294038	valid-logloss:0.295192
[113]	train-logloss:0.294012	valid-logloss:0.295169
[114]	train-logloss:0.293995	valid-logloss:0.295156
[115]	train-logloss:0.293943	valid-logloss:0.295108
[116]	train-logloss:0.29393	valid-logloss:0.295097
[117]	train-logloss:0.293909	valid-logloss:0.295081
[118]	train-logloss:0.293884	valid-logloss:0.295059
[119]	train-logloss:0.293857	valid-logloss:0.295037
[120]	train-logloss:0.293816	valid-logloss:0.295
[121]	train-logloss:0.293788	valid-logloss:0.294975
[122]	train-logloss:0.293757	valid-logloss:0.294946
[123]	train-logloss:0.293731	valid-logloss:0.294923
[124]	train-logloss:0.293699	valid-logloss:0.294893
[125]	train-logloss:0.293668	valid-logloss:0.294863
[126]	train-logloss:0.29365	valid-logloss:0.294849
[127]	train-logloss:0.293636	valid-logloss:0.294839
[128]	train-logloss:0.293603	valid-logloss:0.294808
[129]	train-logloss:0.293579	valid-logloss:0.294789
[130]	train-logloss:0.293558	valid-logloss:0.294771
[131]	train-logloss:0.293515	valid-logloss:0.294733
[132]	train-logloss:0.293501	valid-logloss:0.294721
[133]	train-logloss:0.293466	valid-logloss:0.294689
[134]	train-logloss:0.293442	valid-logloss:0.294669
[135]	train-logloss:0.293415	valid-logloss:0.294646
[136]	train-logloss:0.293405	valid-logloss:0.294639
[137]	train-logloss:0.293385	valid-logloss:0.294625
[138]	train-logloss:0.293371	valid-logloss:0.294615
[139]	train-logloss:0.293327	valid-logloss:0.294574
[140]	train-logloss:0.293303	valid-logloss:0.294555
[141]	train-logloss:0.293288	valid-logloss:0.294543
[142]	train-logloss:0.293275	valid-logloss:0.294534
[143]	train-logloss:0.293263	valid-logloss:0.294526
[144]	train-logloss:0.293242	valid-logloss:0.294508
[145]	train-logloss:0.29323	valid-logloss:0.294498
[146]	train-logloss:0.293208	valid-logloss:0.294481
[147]	train-logloss:0.293142	valid-logloss:0.294419
[148]	train-logloss:0.293129	valid-logloss:0.294408
[149]	train-logloss:0.293088	valid-logloss:0.294371
[150]	train-logloss:0.293074	valid-logloss:0.294358
[151]	train-logloss:0.293051	valid-logloss:0.294339
[152]	train-logloss:0.293031	valid-logloss:0.294324
[153]	train-logloss:0.293008	valid-logloss:0.294305
[154]	train-logloss:0.292971	valid-logloss:0.294272
[155]	train-logloss:0.292944	valid-logloss:0.294252
[156]	train-logloss:0.292923	valid-logloss:0.294233
[157]	train-logloss:0.292908	valid-logloss:0.29422
[158]	train-logloss:0.292888	valid-logloss:0.294203
[159]	train-logloss:0.292877	valid-logloss:0.294195
[160]	train-logloss:0.292861	valid-logloss:0.294182
[161]	train-logloss:0.292839	valid-logloss:0.294165
[162]	train-logloss:0.292812	valid-logloss:0.29414
[163]	train-logloss:0.2928	valid-logloss:0.294131
[164]	train-logloss:0.292781	valid-logloss:0.294115
[165]	train-logloss:0.292746	valid-logloss:0.294083
[166]	train-logloss:0.292737	valid-logloss:0.294076
[167]	train-logloss:0.292717	valid-logloss:0.294059
[168]	train-logloss:0.292678	valid-logloss:0.294023
[169]	train-logloss:0.292649	valid-logloss:0.293997
[170]	train-logloss:0.292642	valid-logloss:0.293993
[171]	train-logloss:0.292621	valid-logloss:0.293975
[172]	train-logloss:0.292595	valid-logloss:0.293953
[173]	train-logloss:0.292578	valid-logloss:0.29394
[174]	train-logloss:0.292546	valid-logloss:0.293911
[175]	train-logloss:0.292527	valid-logloss:0.293896
[176]	train-logloss:0.29249	valid-logloss:0.293862
[177]	train-logloss:0.292454	valid-logloss:0.293831
[178]	train-logloss:0.292436	valid-logloss:0.293815
[179]	train-logloss:0.292408	valid-logloss:0.293792
[180]	train-logloss:0.292381	valid-logloss:0.293768
[181]	train-logloss:0.292374	valid-logloss:0.293765
[182]	train-logloss:0.292334	valid-logloss:0.293726
[183]	train-logloss:0.29232	valid-logloss:0.293715
[184]	train-logloss:0.29228	valid-logloss:0.293679
[185]	train-logloss:0.292265	valid-logloss:0.293665
[186]	train-logloss:0.292251	valid-logloss:0.293655
[187]	train-logloss:0.292229	valid-logloss:0.293637
[188]	train-logloss:0.292216	valid-logloss:0.293628
[189]	train-logloss:0.292161	valid-logloss:0.293578
[190]	train-logloss:0.292123	valid-logloss:0.293543
[191]	train-logloss:0.292101	valid-logloss:0.293526
[192]	train-logloss:0.292071	valid-logloss:0.293502
[193]	train-logloss:0.292056	valid-logloss:0.293492
[194]	train-logloss:0.292038	valid-logloss:0.293477
[195]	train-logloss:0.292021	valid-logloss:0.293465
[196]	train-logloss:0.291977	valid-logloss:0.293424
[197]	train-logloss:0.291954	valid-logloss:0.293404
[198]	train-logloss:0.291924	valid-logloss:0.293378
[199]	train-logloss:0.291891	valid-logloss:0.293349
[200]	train-logloss:0.291871	valid-logloss:0.293334
[201]	train-logloss:0.291851	valid-logloss:0.29332
[202]	train-logloss:0.291835	valid-logloss:0.293308
[203]	train-logloss:0.291815	valid-logloss:0.29329
[204]	train-logloss:0.291792	valid-logloss:0.29327
[205]	train-logloss:0.291759	valid-logloss:0.293241
[206]	train-logloss:0.29174	valid-logloss:0.293226
[207]	train-logloss:0.291727	valid-logloss:0.293218
[208]	train-logloss:0.291719	valid-logloss:0.293212
[209]	train-logloss:0.291695	valid-logloss:0.293191
[210]	train-logloss:0.291669	valid-logloss:0.293168
[211]	train-logloss:0.29165	valid-logloss:0.293151
[212]	train-logloss:0.291619	valid-logloss:0.293125
[213]	train-logloss:0.29158	valid-logloss:0.293088
[214]	train-logloss:0.291549	valid-logloss:0.293062
[215]	train-logloss:0.29152	valid-logloss:0.293037
[216]	train-logloss:0.291476	valid-logloss:0.292997
[217]	train-logloss:0.291453	valid-logloss:0.292977
[218]	train-logloss:0.291434	valid-logloss:0.292962
[219]	train-logloss:0.29142	valid-logloss:0.292952
[220]	train-logloss:0.291377	valid-logloss:0.292915
[221]	train-logloss:0.291362	valid-logloss:0.292903
[222]	train-logloss:0.291345	valid-logloss:0.29289
[223]	train-logloss:0.291324	valid-logloss:0.292872
[224]	train-logloss:0.291308	valid-logloss:0.292861
[225]	train-logloss:0.291289	valid-logloss:0.292844
[226]	train-logloss:0.291271	valid-logloss:0.292831
[227]	train-logloss:0.291263	valid-logloss:0.292824
[228]	train-logloss:0.291252	valid-logloss:0.292816
[229]	train-logloss:0.291241	valid-logloss:0.292809
[230]	train-logloss:0.291189	valid-logloss:0.292759
[231]	train-logloss:0.291161	valid-logloss:0.292735
[232]	train-logloss:0.29114	valid-logloss:0.292717
[233]	train-logloss:0.29111	valid-logloss:0.292689
[234]	train-logloss:0.291092	valid-logloss:0.292675
[235]	train-logloss:0.291079	valid-logloss:0.292666
[236]	train-logloss:0.291037	valid-logloss:0.292627
[237]	train-logloss:0.291005	valid-logloss:0.292597
[238]	train-logloss:0.290986	valid-logloss:0.292583
[239]	train-logloss:0.290966	valid-logloss:0.292566
[240]	train-logloss:0.290946	valid-logloss:0.29255
[241]	train-logloss:0.290935	valid-logloss:0.292543
[242]	train-logloss:0.290922	valid-logloss:0.292533
[243]	train-logloss:0.29089	valid-logloss:0.292505
[244]	train-logloss:0.290872	valid-logloss:0.29249
[245]	train-logloss:0.290861	valid-logloss:0.292481
[246]	train-logloss:0.290847	valid-logloss:0.292471
[247]	train-logloss:0.290841	valid-logloss:0.292467
[248]	train-logloss:0.290828	valid-logloss:0.292456
[249]	train-logloss:0.290816	valid-logloss:0.292448
[250]	train-logloss:0.290804	valid-logloss:0.29244
[251]	train-logloss:0.290792	valid-logloss:0.292432
[252]	train-logloss:0.290781	valid-logloss:0.292426
[253]	train-logloss:0.290765	valid-logloss:0.292413
[254]	train-logloss:0.290739	valid-logloss:0.29239
[255]	train-logloss:0.290702	valid-logloss:0.292359
[256]	train-logloss:0.290694	valid-logloss:0.292352
[257]	train-logloss:0.290677	valid-logloss:0.29234
[258]	train-logloss:0.290664	valid-logloss:0.292331
[259]	train-logloss:0.290637	valid-logloss:0.292309
[260]	train-logloss:0.290598	valid-logloss:0.292273
[261]	train-logloss:0.290585	valid-logloss:0.292264
[262]	train-logloss:0.290575	valid-logloss:0.292256
[263]	train-logloss:0.290564	valid-logloss:0.292248
[264]	train-logloss:0.290553	valid-logloss:0.292242
[265]	train-logloss:0.29054	valid-logloss:0.292232
[266]	train-logloss:0.29052	valid-logloss:0.292215
[267]	train-logloss:0.290511	valid-logloss:0.29221
[268]	train-logloss:0.290498	valid-logloss:0.2922
[269]	train-logloss:0.290486	valid-logloss:0.292193
[270]	train-logloss:0.290478	valid-logloss:0.292185
[271]	train-logloss:0.290458	valid-logloss:0.292168
[272]	train-logloss:0.290446	valid-logloss:0.29216
[273]	train-logloss:0.29043	valid-logloss:0.292147
[274]	train-logloss:0.290397	valid-logloss:0.292119
[275]	train-logloss:0.290382	valid-logloss:0.292108
[276]	train-logloss:0.29037	valid-logloss:0.292099
[277]	train-logloss:0.290353	valid-logloss:0.292086
[278]	train-logloss:0.290339	valid-logloss:0.292074
[279]	train-logloss:0.290325	valid-logloss:0.292065
[280]	train-logloss:0.290312	valid-logloss:0.292053
[281]	train-logloss:0.290297	valid-logloss:0.292042
[282]	train-logloss:0.290275	valid-logloss:0.292026
[283]	train-logloss:0.290259	valid-logloss:0.292013
[284]	train-logloss:0.290245	valid-logloss:0.292002
[285]	train-logloss:0.290236	valid-logloss:0.291995
[286]	train-logloss:0.290224	valid-logloss:0.291986
[287]	train-logloss:0.290202	valid-logloss:0.291968
[288]	train-logloss:0.290187	valid-logloss:0.291958
[289]	train-logloss:0.290181	valid-logloss:0.291953
[290]	train-logloss:0.290173	valid-logloss:0.291949
[291]	train-logloss:0.290165	valid-logloss:0.291944
[292]	train-logloss:0.290137	valid-logloss:0.291919
[293]	train-logloss:0.290127	valid-logloss:0.291913
[294]	train-logloss:0.290101	valid-logloss:0.29189
[295]	train-logloss:0.29009	valid-logloss:0.291882
[296]	train-logloss:0.290076	valid-logloss:0.291873
[297]	train-logloss:0.290065	valid-logloss:0.291865
[298]	train-logloss:0.290056	valid-logloss:0.29186
[299]	train-logloss:0.290049	valid-logloss:0.291856
[300]	train-logloss:0.290035	valid-logloss:0.291844
[301]	train-logloss:0.290018	valid-logloss:0.291831
[302]	train-logloss:0.289978	valid-logloss:0.291796
[303]	train-logloss:0.289965	valid-logloss:0.291787
[304]	train-logloss:0.289943	valid-logloss:0.291768
[305]	train-logloss:0.28992	valid-logloss:0.291748
[306]	train-logloss:0.289905	valid-logloss:0.291737
[307]	train-logloss:0.289892	valid-logloss:0.291728
[308]	train-logloss:0.28987	valid-logloss:0.291707
[309]	train-logloss:0.289844	valid-logloss:0.291684
[310]	train-logloss:0.289824	valid-logloss:0.291668
[311]	train-logloss:0.289807	valid-logloss:0.291654
[312]	train-logloss:0.289796	valid-logloss:0.291646
[313]	train-logloss:0.289788	valid-logloss:0.291642
[314]	train-logloss:0.289777	valid-logloss:0.291634
[315]	train-logloss:0.28976	valid-logloss:0.291621
[316]	train-logloss:0.28974	valid-logloss:0.291602
[317]	train-logloss:0.289722	valid-logloss:0.291588
[318]	train-logloss:0.289714	valid-logloss:0.291583
[319]	train-logloss:0.289703	valid-logloss:0.291577
[320]	train-logloss:0.289686	valid-logloss:0.291564
[321]	train-logloss:0.289671	valid-logloss:0.291552
[322]	train-logloss:0.289657	valid-logloss:0.291542
[323]	train-logloss:0.289646	valid-logloss:0.291532
[324]	train-logloss:0.289638	valid-logloss:0.291527
[325]	train-logloss:0.28963	valid-logloss:0.291522
[326]	train-logloss:0.289608	valid-logloss:0.291503
[327]	train-logloss:0.289592	valid-logloss:0.291489
[328]	train-logloss:0.289577	valid-logloss:0.291479
[329]	train-logloss:0.289567	valid-logloss:0.291472
[330]	train-logloss:0.289557	valid-logloss:0.291464
[331]	train-logloss:0.289546	valid-logloss:0.291455
[332]	train-logloss:0.289535	valid-logloss:0.291447
[333]	train-logloss:0.289514	valid-logloss:0.291429
[334]	train-logloss:0.289499	valid-logloss:0.291416
[335]	train-logloss:0.289486	valid-logloss:0.291408
[336]	train-logloss:0.289467	valid-logloss:0.291391
[337]	train-logloss:0.289457	valid-logloss:0.291384
[338]	train-logloss:0.289433	valid-logloss:0.291363
[339]	train-logloss:0.289416	valid-logloss:0.291348
[340]	train-logloss:0.289408	valid-logloss:0.291343
[341]	train-logloss:0.289397	valid-logloss:0.291336
[342]	train-logloss:0.289381	valid-logloss:0.291324
[343]	train-logloss:0.289345	valid-logloss:0.291291
